# Dimensionless power spectra l*(l+1)*C_l/(2*pi)
# [0] l, [1] l1l1, [2] l1l2, [3] l2l2,
214 4.234571E-06 5.101857E-06 6.491627E-06 
215 4.236100E-06 5.104290E-06 6.495422E-06 
216 4.237585E-06 5.106675E-06 6.499174E-06 
217 4.239027E-06 5.109011E-06 6.502883E-06 
218 4.240424E-06 5.111295E-06 6.506546E-06 
219 4.241775E-06 5.113526E-06 6.510162E-06 
220 4.243080E-06 5.115701E-06 6.513729E-06 
221 4.244335E-06 5.117818E-06 6.517244E-06 
222 4.245541E-06 5.119873E-06 6.520704E-06 
223 4.246695E-06 5.121863E-06 6.524107E-06 
224 4.247796E-06 5.123786E-06 6.527449E-06 
225 4.248845E-06 5.125643E-06 6.530732E-06 
226 4.249844E-06 5.127436E-06 6.533958E-06 
227 4.250796E-06 5.129167E-06 6.537128E-06 
228 4.251703E-06 5.130839E-06 6.540244E-06 
229 4.252565E-06 5.132454E-06 6.543307E-06 
230 4.253386E-06 5.134014E-06 6.546319E-06 
231 4.254167E-06 5.135520E-06 6.549281E-06 
232 4.254910E-06 5.136974E-06 6.552194E-06 
233 4.255616E-06 5.138379E-06 6.555057E-06 
234 4.256287E-06 5.139734E-06 6.557873E-06 
235 4.256924E-06 5.141043E-06 6.560640E-06 
236 4.257528E-06 5.142305E-06 6.563359E-06 
237 4.258102E-06 5.143523E-06 6.566030E-06 
238 4.258645E-06 5.144697E-06 6.568653E-06 
239 4.259158E-06 5.145829E-06 6.571227E-06 
240 4.259644E-06 5.146918E-06 6.573751E-06 
241 4.260102E-06 5.147967E-06 6.576224E-06 
242 4.260533E-06 5.148974E-06 6.578645E-06 
243 4.260938E-06 5.149941E-06 6.581012E-06 
244 4.261317E-06 5.150868E-06 6.583325E-06 
245 4.261670E-06 5.151755E-06 6.585580E-06 
246 4.261999E-06 5.152602E-06 6.587776E-06 
247 4.262302E-06 5.153409E-06 6.589911E-06 
248 4.262580E-06 5.154175E-06 6.591981E-06 
249 4.262833E-06 5.154900E-06 6.593984E-06 
250 4.263061E-06 5.155585E-06 6.595918E-06 
251 4.263265E-06 5.156229E-06 6.597783E-06 
252 4.263446E-06 5.156836E-06 6.599584E-06 
253 4.263605E-06 5.157407E-06 6.601321E-06 
254 4.263744E-06 5.157944E-06 6.602996E-06 
255 4.263864E-06 5.158448E-06 6.604612E-06 
256 4.263966E-06 5.158921E-06 6.606172E-06 
257 4.264050E-06 5.159364E-06 6.607675E-06 
258 4.264118E-06 5.159779E-06 6.609126E-06 
259 4.264170E-06 5.160167E-06 6.610524E-06 
260 4.264208E-06 5.160530E-06 6.611872E-06 
261 4.264230E-06 5.160868E-06 6.613172E-06 
262 4.264239E-06 5.161182E-06 6.614424E-06 
263 4.264235E-06 5.161474E-06 6.615631E-06 
264 4.264217E-06 5.161744E-06 6.616793E-06 
265 4.264187E-06 5.161994E-06 6.617911E-06 
266 4.264144E-06 5.162223E-06 6.618987E-06 
267 4.264089E-06 5.162433E-06 6.620021E-06 
268 4.264020E-06 5.162623E-06 6.621015E-06 
269 4.263939E-06 5.162795E-06 6.621968E-06 
270 4.263845E-06 5.162949E-06 6.622883E-06 
271 4.263738E-06 5.163085E-06 6.623758E-06 
272 4.263617E-06 5.163203E-06 6.624595E-06 
273 4.263482E-06 5.163303E-06 6.625394E-06 
274 4.263332E-06 5.163384E-06 6.626155E-06 
275 4.263167E-06 5.163448E-06 6.626878E-06 
276 4.262985E-06 5.163493E-06 6.627564E-06 
277 4.262786E-06 5.163519E-06 6.628211E-06 
278 4.262568E-06 5.163526E-06 6.628819E-06 
279 4.262331E-06 5.163513E-06 6.629390E-06 
280 4.262076E-06 5.163481E-06 6.629923E-06 
281 4.261803E-06 5.163431E-06 6.630420E-06 
282 4.261513E-06 5.163364E-06 6.630884E-06 
283 4.261207E-06 5.163280E-06 6.631315E-06 
284 4.260885E-06 5.163182E-06 6.631716E-06 
285 4.260550E-06 5.163068E-06 6.632087E-06 
286 4.260200E-06 5.162941E-06 6.632430E-06 
287 4.259837E-06 5.162800E-06 6.632746E-06 
288 4.259461E-06 5.162646E-06 6.633036E-06 
289 4.259072E-06 5.162479E-06 6.633302E-06 
290 4.258672E-06 5.162301E-06 6.633545E-06 
291 4.258260E-06 5.162111E-06 6.633765E-06 
292 4.257837E-06 5.161909E-06 6.633963E-06 
293 4.257403E-06 5.161696E-06 6.634141E-06 
294 4.256958E-06 5.161472E-06 6.634298E-06 
295 4.256502E-06 5.161236E-06 6.634436E-06 
296 4.256035E-06 5.160989E-06 6.634556E-06 
297 4.255558E-06 5.160730E-06 6.634657E-06 
298 4.255070E-06 5.160459E-06 6.634740E-06 
299 4.254571E-06 5.160176E-06 6.634806E-06 
300 4.254061E-06 5.159881E-06 6.634855E-06 
301 4.253540E-06 5.159572E-06 6.634886E-06 
302 4.253006E-06 5.159250E-06 6.634901E-06 
303 4.252461E-06 5.158914E-06 6.634899E-06 
304 4.251903E-06 5.158562E-06 6.634879E-06 
305 4.251332E-06 5.158195E-06 6.634842E-06 
306 4.250747E-06 5.157810E-06 6.634788E-06 
307 4.250147E-06 5.157408E-06 6.634716E-06 
308 4.249533E-06 5.156987E-06 6.634625E-06 
309 4.248902E-06 5.156545E-06 6.634515E-06 
310 4.248254E-06 5.156082E-06 6.634386E-06 
311 4.247588E-06 5.155596E-06 6.634237E-06 
312 4.246903E-06 5.155085E-06 6.634066E-06 
313 4.246200E-06 5.154552E-06 6.633875E-06 
314 4.245480E-06 5.153995E-06 6.633665E-06 
315 4.244743E-06 5.153417E-06 6.633437E-06 
316 4.243990E-06 5.152819E-06 6.633191E-06 
317 4.243223E-06 5.152200E-06 6.632928E-06 
318 4.242441E-06 5.151563E-06 6.632649E-06 
319 4.241645E-06 5.150907E-06 6.632355E-06 
320 4.240836E-06 5.150234E-06 6.632046E-06 
321 4.240015E-06 5.149545E-06 6.631723E-06 
322 4.239183E-06 5.148839E-06 6.631386E-06 
323 4.238339E-06 5.148118E-06 6.631036E-06 
324 4.237484E-06 5.147383E-06 6.630673E-06 
325 4.236620E-06 5.146633E-06 6.630298E-06 
326 4.235746E-06 5.145869E-06 6.629910E-06 
327 4.234863E-06 5.145093E-06 6.629510E-06 
